exp,graph_family,n,p,seed,algo,layers,width,bipartite_n,m,repeats,runtime_ns_median,runtime_ns_mean,runtime_ns_std,flow_value,cut_capacity,matching_size,edge_scans,bfs_edge_scans,dfs_edge_scans,bfs_count,augment_count,phase_count,dfs_calls,runtime_sec_median,runtime_sec_mean,runtime_sec_std
standard,bipartite,302,0.08,2,dinic,,,150.0,2115,15,1948375.0,2043213.8666666667,240205.8141052814,150.0,150.0,150.0,19558,12840,6718,4,0,4,1783,0.001948375,0.0020432138666666667,0.0002402058141052814
standard,bipartite,302,0.08,2,edmonds_karp,,,150.0,2115,15,14035958.0,14037130.466666667,298349.13089649734,150.0,150.0,150.0,203279,203279,0,151,150,0,0,0.014035958,0.014037130466666667,0.00029834913089649736
standard,bipartite,302,0.08,3,dinic,,,150.0,2091,15,2186167.0,2252511.0,209576.6179355075,150.0,150.0,150.0,20873,12696,8177,4,0,4,1874,0.002186167,0.002252511,0.0002095766179355075
standard,bipartite,302,0.08,3,edmonds_karp,,,150.0,2091,15,13429500.0,13411433.266666668,189247.08881152727,150.0,150.0,150.0,193520,193520,0,151,150,0,0,0.0134295,0.013411433266666668,0.00018924708881152728
standard,bipartite,302,0.08,4,dinic,,,150.0,2063,15,1807250.0,1852594.4,149888.2459290444,150.0,150.0,150.0,18591,12528,6063,4,0,4,1685,0.00180725,0.0018525943999999999,0.00014988824592904442
standard,bipartite,302,0.08,4,edmonds_karp,,,150.0,2063,15,13809708.0,13841572.266666668,388384.325154399,150.0,150.0,150.0,202420,202420,0,151,150,0,0,0.013809708,0.013841572266666668,0.000388384325154399
standard,bipartite,302,0.08,5,dinic,,,150.0,2109,15,1485000.0,1538547.2,154089.47768757143,150.0,150.0,150.0,13989,8586,5403,3,0,3,1598,0.001485,0.0015385472,0.00015408947768757143
standard,bipartite,302,0.08,5,edmonds_karp,,,150.0,2109,15,13996709.0,13997983.266666668,224529.29390440273,150.0,150.0,150.0,202174,202174,0,151,150,0,0,0.013996709,0.013997983266666668,0.00022452929390440272
standard,bipartite,302,0.08,6,dinic,,,150.0,2106,15,2597959.0,2609072.3333333335,42190.22720229121,150.0,150.0,150.0,26462,16998,9464,5,0,5,2027,0.002597959,0.0026090723333333336,4.219022720229121e-05
standard,bipartite,302,0.08,6,edmonds_karp,,,150.0,2106,15,13756500.0,13802427.8,268457.76062970184,150.0,150.0,150.0,201032,201032,0,151,150,0,0,0.0137565,0.013802427800000001,0.00026845776062970185
standard,bipartite,302,0.08,7,dinic,,,150.0,2067,15,2085125.0,2098341.8,93574.43016062512,150.0,150.0,150.0,20326,12552,7774,4,0,4,1926,0.002085125,0.0020983418,9.357443016062512e-05
